Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000161626, 8.8121e-05, 7.2554e-05, 1.97e-06, 581, 1659, 9
0.000378895, 0.000186384, 0.00019192, 5.185e-06, 588, 1659, 11
0.000673404, 0.000486916, 0.000182274, 5.073e-06, 582, 1798, 12
0.00136472, 0.000288734, 0.00106949, 4.4571e-05, 589, 1590, 24
0.000526069, 0.000379689, 0.000144866, 2.839e-06, 578, 1602, 11
0.000438147, 0.000210997, 0.000224908, 3.534e-06, 599, 1522, 9
0.000555683, 0.000315341, 0.000236327, 4.614e-06, 588, 1647, 10
0.000402893, 0.000292512, 9.9325e-05, 3.284e-06, 587, 1642, 12
0.00028524, 0.000144763, 0.000138408, 3.781e-06, 587, 1679, 13
0.000213505, 0.00012703, 8.5432e-05, 2.166e-06, 566, 1487, 6
0.000432974, 0.000247951, 0.000183046, 5.577e-06, 576, 1544, 14
0.000423233, 0.000222726, 0.000197256, 6.686e-06, 559, 1439, 6
0.000166539, 0.000104619, 6.1357e-05, 2.326e-06, 515, 1285, 10
0.000412131, 0.000222552, 0.000185382, 4.741e-06, 497, 758, 11
0.000121461, 9.1671e-05, 2.8096e-05, 1.621e-06, 482, 404, 6
0.000280583, 0.000212507, 6.2524e-05, 6.706e-06, 502, 560, 8
0.000239666, 0.000128226, 0.000110651, 4.211e-06, 538, 591, 11
0.0285444, 7.2178e-05, 4.2309e-05, 2.431e-06, 545, 691, 12
0.000331112, 0.000189378, 0.000138913, 4.559e-06, 582, 911, 18
0.00041752, 0.00020868, 0.00020585, 6.684e-06, 595, 1247, 18
0.000525055, 0.000379124, 0.000144736, 4.357e-06, 603, 1482, 16
0.000528271, 0.000314888, 0.00020801, 9.08e-06, 647, 1725, 25
0.00131934, 0.000428103, 0.000872789, 2.7342e-05, 650, 2112, 23
0.000375764, 0.000186787, 0.00018663, 5.375e-06, 662, 2308, 24
0.000441645, 0.000280079, 0.000156762, 4.888e-06, 641, 1915, 21
0.000369322, 0.0001942, 0.000172394, 6.836e-06, 625, 2201, 31
0.0611344, 0.000208121, 0.000164474, 8.77e-06, 633, 2089, 29
0.000511351, 0.000261123, 0.000248217, 8.284e-06, 595, 1883, 25
0.000372846, 0.000194335, 0.000177362, 8.365e-06, 599, 2135, 36
0.000355575, 0.000194552, 0.00015999, 1.1396e-05, 599, 2211, 32
0.000297467, 0.000168906, 0.000125212, 5.216e-06, 560, 1826, 25
0.000220827, 0.000117527, 0.000102403, 4.731e-06, 549, 2040, 28
0.000503349, 0.000196426, 0.000304787, 8.557e-06, 557, 1977, 29
0.00029796, 0.000161369, 0.000135181, 5.329e-06, 543, 1987, 28
0.00018303, 9.6941e-05, 8.5398e-05, 5.046e-06, 528, 1924, 30
0.000437667, 0.000232706, 0.000203151, 7.753e-06, 546, 1926, 27
0.00031171, 0.000172828, 0.000137576, 6.856e-06, 538, 2073, 26
0.000195676, 0.000104957, 8.9676e-05, 3.396e-06, 538, 1837, 19
0.000344971, 0.000173061, 0.000170979, 5.079e-06, 553, 2059, 25
0.000354407, 0.000177016, 0.000176378, 5.911e-06, 531, 2173, 30
0.000302071, 0.000164175, 0.000137, 5.103e-06, 522, 2089, 23
0.000306216, 0.000163392, 0.000142057, 4.999e-06, 520, 1975, 25
0.000316106, 0.000176144, 0.000138671, 5.419e-06, 530, 2059, 24
0.00126581, 0.000613016, 0.000646488, 2.853e-05, 523, 1956, 19
0.000369011, 0.000201588, 0.000166245, 1.0282e-05, 521, 2143, 27
0.000350368, 0.000171845, 0.000177184, 8.61e-06, 508, 1864, 27
0.000306897, 0.000166825, 0.000138689, 8.022e-06, 491, 1978, 20
0.000215784, 0.000141549, 7.2641e-05, 3.756e-06, 479, 1598, 22
0.000215291, 0.000112482, 0.000101483, 3.574e-06, 496, 1684, 17
0.0641568, 0.000195067, 0.000150656, 9.807e-06, 490, 1489, 31
0.000177488, 9.6431e-05, 7.9652e-05, 3.954e-06, 473, 1586, 22
0.000452094, 0.000217615, 0.000231442, 9.855e-06, 493, 1632, 20
0.000368803, 0.000170793, 0.00019652, 8.736e-06, 494, 1507, 20
0.000263943, 0.0001335, 0.000129323, 8.983e-06, 487, 1587, 21
0.000225659, 0.0001248, 9.9834e-05, 3.301e-06, 490, 1395, 14
0.000608089, 0.00033332, 0.000272665, 1.3351e-05, 507, 1430, 16
0.000241535, 0.000138123, 0.000102033, 3.485e-06, 488, 1396, 13
0.000507571, 0.000331358, 0.000171799, 8.719e-06, 494, 1485, 19
0.000383727, 0.00019344, 0.0001882, 7.244e-06, 485, 1587, 13
0.000517022, 0.000258641, 0.000255632, 7.073e-06, 497, 1568, 10
0.00017263, 9.0505e-05, 8.1378e-05, 3.459e-06, 490, 1641, 17
0.000567881, 0.00022354, 0.000342386, 5.13e-06, 505, 1568, 12
0.000243205, 0.000137679, 0.000104572, 3.076e-06, 508, 1515, 11
0.000309952, 0.000168172, 0.000140449, 3.967e-06, 510, 1847, 15
0.000224558, 0.000133194, 8.8897e-05, 2.995e-06, 503, 1927, 15
0.000478697, 0.000341866, 0.000134436, 6.446e-06, 512, 1806, 15
0.000335851, 0.000149434, 0.000185717, 5.012e-06, 520, 1737, 13
0.000660843, 0.000268436, 0.000391024, 1.0632e-05, 508, 1861, 19
